UNIQUE_ID,DO_critical_count,stress_combo_count,flow_flag_count,avg_risk_score,avg_temp,avg_DO,latitude,longitude,total_samples,watershed,DO_critical_rate,stress_combo_rate,risk_rank
W2991,2,1,2,3.5,25.200000000000003,4.45,42.44674169,-71.93975559,2,Chicopee,100.0,50.0,1
W1830,6,2,6,3.3333333333333335,22.599999999999998,4.0,42.5300897,-71.57792062,6,Nashua,100.0,33.33333333333333,2
W2396,3,1,3,3.3333333333333335,22.46666666666667,1.8666666666666665,41.8814227,-70.90942651,3,Taunton,100.0,33.33333333333333,3
W2037,7,0,7,3.0,18.74285714285714,2.157142857142857,42.19140109,-70.86520493,7,Weymouth & Weir,100.0,0.0,4
W2382,2,0,2,3.0,20.299999999999997,4.5,41.75570188,-70.9831251,2,Taunton,100.0,0.0,5
W0775,1,1,0,3.0,26.3,4.2,41.68379581,-70.97096286,1,Buzzards Bay,100.0,100.0,6
W1429,1,0,1,3.0,16.2,0.9,42.1231178,-71.59908641,1,Blackstone,100.0,0.0,7
W2534,1,0,1,3.0,22.0,0.5,42.5975906,-71.4475714,1,Merrimack,100.0,0.0,8
W2986,2,0,2,3.0,22.299999999999997,2.5,42.41359781,-72.14305722,2,Chicopee,100.0,0.0,9
W0816,2,0,2,3.0,19.950000000000003,0.9,41.81989559,-71.02717559,2,Taunton,100.0,0.0,10
W2524,1,0,1,3.0,17.8,4.1,42.4768312,-71.5654205,1,Concord (SuAsCo),100.0,0.0,11
W2515,3,1,3,3.0,22.53333333333333,2.1333333333333333,42.5790278,-70.9915364,3,Ipswich,100.0,33.33333333333333,12
W0995,4,0,4,3.0,17.025,1.6749999999999998,42.45586034,-71.64556281,4,Nashua,100.0,0.0,13
W2996,2,0,2,3.0,17.6,0.8500000000000001,42.1149129,-71.70458582,2,Blackstone,100.0,0.0,14
W2999,2,0,2,3.0,19.35,3.45,42.22369805,-71.68770771,2,Blackstone,100.0,0.0,15
W2542,7,0,7,2.857142857142857,20.785714285714285,2.6999999999999997,42.618394,-71.021129,7,Ipswich,100.0,0.0,16
W2150,6,0,6,2.8333333333333335,20.433333333333334,4.233333333333333,42.50955132,-71.03640039,6,North Coastal,100.0,0.0,17
W2141,6,0,6,2.8333333333333335,20.5,2.5,42.71872773,-70.98414919,6,Parker,100.0,0.0,18
W1294,4,0,5,2.8,14.84,3.08,42.63380602,-72.23276091,5,Millers,80.0,0.0,19
W1300,8,0,10,2.8,14.89,3.8600000000000003,42.2565633,-71.51337647,10,Concord (SuAsCo),80.0,0.0,20
W2829,4,0,4,2.75,19.35,1.6,41.99230816,-71.04277391,4,Taunton,100.0,0.0,21
W2198,3,0,4,2.75,20.725,4.9,42.12335485,-72.20669311,4,Quinebaug,75.0,0.0,22
W2540,7,0,7,2.7142857142857144,19.771428571428572,2.3857142857142857,42.700651,-71.487647,7,Merrimack,100.0,0.0,23
W2391,2,1,3,2.6666666666666665,24.599999999999998,5.2,41.64357833,-70.45336867,3,Cape Cod,66.66666666666666,33.33333333333333,24
W2526,2,1,3,2.6666666666666665,21.433333333333334,5.0,42.5718288,-71.0962545,3,Ipswich,66.66666666666666,33.33333333333333,25
W2912,3,0,3,2.6666666666666665,19.5,2.466666666666667,42.18764862,-70.76850844,3,South Coastal,100.0,0.0,26
W1969,6,0,6,2.6666666666666665,20.599999999999998,3.516666666666667,42.40692802,-71.13399738,6,Mystic,100.0,0.0,27
W2522,3,0,3,2.6666666666666665,20.433333333333334,0.6333333333333333,42.5017852,-71.2407158,3,Shawsheen,100.0,0.0,28
W2215,4,0,6,2.6666666666666665,22.566666666666666,4.733333333333333,42.65715091,-72.13290955,6,Millers,66.66666666666666,0.0,29
W2910,3,0,3,2.6666666666666665,17.566666666666666,3.1999999999999997,41.95851534,-71.2424628,3,Taunton,100.0,0.0,30
W2400,1,1,3,2.6666666666666665,21.03333333333333,5.133333333333334,41.9325177,-71.07757733,3,Taunton,33.33333333333333,33.33333333333333,31
W2152,3,1,6,2.6666666666666665,22.55,4.866666666666666,42.15062894,-71.42890888,6,Charles,50.0,16.666666666666664,32
W2901,3,0,3,2.6666666666666665,18.5,3.0666666666666664,42.20154773,-72.04487072,3,Chicopee,100.0,0.0,33
W1301,3,0,5,2.6,23.0,5.2,42.26417366,-71.42338611,5,Concord (SuAsCo),60.0,0.0,34
W0921,4,1,5,2.6,21.5,3.8,42.07998887,-70.74566501,5,South Coastal,80.0,20.0,35
W2834,3,0,4,2.5,19.0,3.4749999999999996,41.96932455,-70.88343597,4,Taunton,75.0,0.0,36
W2381,2,0,1,2.5,20.75,2.0,41.98836801,-71.03545292,2,Taunton,100.0,0.0,37
