UNIQUE_ID,Latitude,Longitude,TEMP,DO,flow_flag,risk_score,season,year,month,is_summer,DO_critical,stress_combo
W2948,42.30798331,-71.81943101,15.2,9.5,1,1,Fall,2020.0,9.0,0,0,0
W1590,42.34154459,-71.26662505,18.9,9.3,1,2,Summer,2020.0,7.0,1,0,0
W1590,42.34154459,-71.26662505,20.5,8.9,1,2,Summer,2020.0,8.0,1,0,0
W3003,42.38881334,-71.29698568,21.7,6.2,1,2,Summer,2020.0,7.0,1,0,0
W3003,42.38881334,-71.29698568,21.5,7.1,1,2,Summer,2020.0,8.0,1,0,0
W3006,42.20924747,-71.18482101,20.1,7.8,1,2,Summer,2020.0,7.0,1,0,0
W3006,42.20924747,-71.18482101,21.9,5.8,1,2,Summer,2020.0,8.0,1,0,0
W0546,42.18920084,-71.2401585,19.3,8.4,1,2,Summer,2020.0,7.0,1,0,0
W0546,42.18920084,-71.2401585,21.1,7.9,1,2,Summer,2020.0,8.0,1,0,0
W2992,41.94464888,-71.37166023,22.4,8.4,1,2,Summer,2020.0,7.0,1,0,0
W2992,41.94464888,-71.37166023,24.6,7.4,1,2,Summer,2020.0,8.0,1,0,0
W3005,42.06029614,-71.42140501,21.1,8.4,1,2,Summer,2020.0,7.0,1,0,0
W3005,42.06029614,-71.42140501,23.0,7.8,1,2,Summer,2020.0,8.0,1,0,0
W2962,42.16373516,-72.534428,21.1,8.0,1,2,Summer,2020.0,7.0,1,0,0
W2962,42.16373516,-72.534428,19.5,8.2,1,2,Summer,2020.0,8.0,1,0,0
W2963,42.18866352,-72.45219345,16.9,9.3,1,2,Summer,2020.0,7.0,1,0,0
W2963,42.18866352,-72.45219345,18.2,8.7,1,2,Summer,2020.0,8.0,1,0,0
W2964,42.21061244,-72.40257059,22.6,7.1,1,2,Summer,2020.0,7.0,1,0,0
W2964,42.21061244,-72.40257059,16.7,3.9,1,3,Summer,2020.0,8.0,1,1,0
W2975,42.2164917,-72.37689964,21.1,7.9,1,2,Summer,2020.0,7.0,1,0,0
W2975,42.2164917,-72.37689964,17.4,1.7,1,3,Summer,2020.0,8.0,1,1,0
W2965,42.17332508,-72.25295351,22.7,8.6,1,2,Summer,2020.0,7.0,1,0,0
W2965,42.17332508,-72.25295351,19.1,9.3,1,2,Summer,2020.0,8.0,1,0,0
W2966,42.22326789,-72.22512226,21.2,8.3,1,2,Summer,2020.0,7.0,1,0,0
W2966,42.22326789,-72.22512226,19.6,8.6,1,2,Summer,2020.0,8.0,1,0,0
W2971,42.21712393,-71.99983627,28.0,6.1,1,2,Summer,2020.0,7.0,1,0,0
W2971,42.21712393,-71.99983627,22.7,6.8,1,2,Summer,2020.0,8.0,1,0,0
W2983,42.35641055,-72.23099629,20.0,7.1,1,2,Summer,2020.0,7.0,1,0,0
W2983,42.35641055,-72.23099629,19.7,4.6,1,3,Summer,2020.0,8.0,1,1,0
W2984,42.31493164,-72.20590855,20.1,8.5,1,2,Summer,2020.0,7.0,1,0,0
W2984,42.31493164,-72.20590855,22.4,8.0,1,2,Summer,2020.0,8.0,1,0,0
W2985,42.31601104,-72.18146595,18.2,8.7,1,2,Summer,2020.0,7.0,1,0,0
W2985,42.31601104,-72.18146595,19.9,7.8,1,2,Summer,2020.0,8.0,1,0,0
W2967,42.28886649,-72.12794852,19.1,8.4,1,2,Summer,2020.0,7.0,1,0,0
W2967,42.28886649,-72.12794852,21.2,5.4,1,2,Summer,2020.0,8.0,1,0,0
W2968,42.2978692,-72.11726439,20.8,8.5,1,2,Summer,2020.0,7.0,1,0,0
W2968,42.2978692,-72.11726439,23.7,7.9,1,2,Summer,2020.0,8.0,1,0,0
