SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical
W2945,42.30647078,-71.76580774,Blackstone,2019.0,2020.0,4,15.575,9.45,1.5,17.575,8.95,0,0,0,0.0,
W2946,42.23658166,-71.70515602,Blackstone,2019.0,2020.0,2,15.85,8.850000000000001,1.0,17.85,8.350000000000001,0,0,0,0.0,
W2947,42.17548786,-71.72816762,Blackstone,2019.0,2020.0,2,13.4,9.85,1.0,15.4,9.35,0,0,0,0.0,
W2948,42.30798331,-71.81943101,Blackstone,2019.0,2020.0,4,15.625,8.45,1.25,17.625,7.95,0,1,1,0.0,0.0
W2949,42.20322946,-71.8374543,Blackstone,2019.0,2020.0,2,14.25,10.85,1.0,16.25,10.35,0,0,0,0.0,
W2950,42.19026146,-71.84582602,Blackstone,2019.0,2020.0,2,14.15,10.1,1.0,16.15,9.6,0,0,0,0.0,
W2953,41.76842431,-70.72293943,Buzzards Bay,2018.0,2018.0,5,23.56,6.1,2.0,25.56,5.6,2,2,0,40.0,0.0
W2955,42.55608497,-72.30064271,Millers,2020.0,2020.0,1,22.0,7.7,2.0,24.0,7.2,0,0,0,0.0,
W2956,42.68339607,-72.17229563,Millers,2020.0,2020.0,2,19.85,8.75,2.0,21.85,8.25,0,0,0,0.0,
W2957,42.63003931,-72.16378855,Millers,2020.0,2020.0,2,19.2,6.05,2.0,21.2,5.55,0,0,0,0.0,
W2958,42.60698139,-72.16349796,Millers,2020.0,2020.0,2,20.700000000000003,5.1,2.5,22.700000000000003,4.6,1,1,0,50.0,0.0
W2959,42.6130637,-72.12973159,Millers,2020.0,2020.0,2,19.25,8.35,2.0,21.25,7.85,0,0,0,0.0,
W2960,42.55493712,-72.12734536,Millers,2020.0,2020.0,2,17.950000000000003,5.550000000000001,2.5,19.950000000000003,5.050000000000001,1,1,0,50.0,0.0
W2961,42.58897184,-72.03710739,Millers,2020.0,2020.0,2,19.75,8.25,2.0,21.75,7.75,0,0,0,0.0,
W2962,42.16373516,-72.534428,Chicopee,2020.0,2020.0,2,20.3,8.1,2.0,22.3,7.6,0,0,0,0.0,
W2963,42.18866352,-72.45219345,Chicopee,2020.0,2020.0,2,17.549999999999997,9.0,2.0,19.549999999999997,8.5,0,0,0,0.0,
W2964,42.21061244,-72.40257059,Chicopee,2020.0,2020.0,2,19.65,5.5,2.5,21.65,5.0,1,1,0,50.0,0.0
W2965,42.17332508,-72.25295351,Chicopee,2020.0,2020.0,2,20.9,8.95,2.0,22.9,8.45,0,0,0,0.0,
W2966,42.22326789,-72.22512226,Chicopee,2020.0,2020.0,2,20.4,8.45,2.0,22.4,7.95,0,0,0,0.0,
W2967,42.28886649,-72.12794852,Chicopee,2020.0,2020.0,2,20.15,6.9,2.0,22.15,6.4,0,1,1,0.0,0.0
W2968,42.2978692,-72.11726439,Chicopee,2020.0,2020.0,2,22.25,8.2,2.0,24.25,7.7,0,0,0,0.0,
W2969,42.31427223,-72.09667589,Chicopee,2020.0,2020.0,1,18.6,7.0,2.0,20.6,6.5,0,0,0,0.0,
W2970,42.58473938,-71.77277533,Nashua,2020.0,2020.0,2,18.9,8.05,2.0,20.9,7.55,0,0,0,0.0,
