SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical,composite_risk_score,risk_category
W0603,42.52346976,-71.6880925,Nashua,2005.0,2017.0,41,13.273170731707316,6.309756097560975,2.292682926829268,15.273170731707316,5.817073170731708,12,15,3,29.268292682926827,25.0,21.270731707317072,MODERATE
W0604,42.49250849,-71.5969091,Nashua,2016.0,2016.0,20,22.98,7.355,1.75,24.98,6.8549999999999995,2,2,0,10.0,0.0,16.490000000000002,MODERATE
W0615,42.11947322,-72.00870444,Quinebaug,2005.0,2013.0,42,11.166666666666666,11.3,1.261904761904762,13.166666666666666,10.8,0,0,0,0.0,,5.583333333333333,LOW
W0668,42.17958119,-71.68815945,Blackstone,2008.0,2008.0,4,21.4,7.65,2.0,23.4,7.1499999999999995,0,0,0,0.0,,10.7,LOW
W0669,42.18121701,-71.73068267,Blackstone,2008.0,2008.0,4,20.549999999999997,6.475,2.0,22.549999999999997,5.975,0,0,0,0.0,,10.274999999999999,LOW
W0678,42.39432391,-72.04921345,Chicopee,2017.0,2017.0,1,2.4,12.5,1.0,4.4,12.0,0,0,0,0.0,,1.2,LOW
W0679,42.63670884,-71.3017484,Concord (SuAsCo),2005.0,2007.0,17,13.494117647058824,11.076470588235296,1.2352941176470589,15.494117647058822,10.576470588235296,0,0,0,0.0,,6.747058823529412,LOW
W0680,42.22778189,-71.78735524,Blackstone,2005.0,2013.0,53,13.745283018867925,10.352830188679246,1.320754716981132,15.745283018867925,9.852830188679246,0,0,0,0.0,,6.872641509433962,LOW
W0681,42.44473811,-71.67198789,Nashua,2005.0,2010.0,32,10.31875,10.665625,1.28125,12.31875,10.165625,0,0,0,0.0,,5.159375,LOW
W0688,42.02298331,-71.57206082,Blackstone,2005.0,2013.0,9,11.855555555555556,10.377777777777778,1.2222222222222223,13.855555555555556,9.877777777777778,0,0,0,0.0,,5.927777777777778,LOW
W0689,42.23053792,-71.70809238,Blackstone,2005.0,2013.0,43,13.734883720930233,10.344186046511629,1.2093023255813953,15.734883720930233,9.844186046511629,0,0,0,0.0,,6.867441860465116,LOW
W0695,42.30485304,-71.62845076,Concord (SuAsCo),2005.0,2013.0,50,12.258,8.777999999999999,1.28,14.258,8.277999999999999,0,1,1,0.0,0.0,6.129,LOW
W0696,42.32543468,-71.39736431,Concord (SuAsCo),2005.0,2013.0,48,13.552083333333334,10.704166666666666,1.2916666666666667,15.552083333333334,10.204166666666667,0,0,0,0.0,,6.776041666666667,LOW
W0697,42.43206352,-71.44974106,Concord (SuAsCo),2005.0,2013.0,44,12.865909090909092,10.96818181818182,1.25,14.865909090909092,10.46818181818182,0,0,0,0.0,,6.432954545454546,LOW
W0698,42.51227518,-71.40458554,Concord (SuAsCo),2005.0,2013.0,42,10.723809523809525,9.711904761904762,1.261904761904762,12.723809523809525,9.211904761904762,1,2,1,2.380952380952381,100.0,6.552380952380953,LOW
W0767,42.153873,-71.65203977,Blackstone,2005.0,2013.0,51,14.347058823529412,9.890196078431371,1.3333333333333333,16.347058823529412,9.390196078431371,1,1,0,1.96078431372549,0.0,8.153921568627451,LOW
W0832,42.26764467,-71.55276363,Concord (SuAsCo),2006.0,2006.0,5,17.34,4.58,2.4,19.339999999999996,4.08,3,3,0,60.0,0.0,38.67,MODERATE
W0838,42.25849843,-71.45547229,Concord (SuAsCo),2006.0,2006.0,5,17.98,8.7,1.6,19.98,8.2,0,0,0,0.0,,8.99,LOW
W0843,42.46568803,-71.39143422,Concord (SuAsCo),2006.0,2006.0,5,19.2,8.440000000000001,1.6,21.2,7.94,0,0,0,0.0,,9.6,LOW
