Metro_Area,Total_Sites,Avg_Risk_Score,Avg_Temperature_C,Avg_DO_mgL,Avg_Critical_Pct,Crisis_Sites,Severe_Sites
Boston,99,15.779320439357694,18.12772184115003,7.51312128566132,13.430919037565351,0,0
Worcester,371,15.00798353755606,18.667672733271843,7.771593352738139,11.348294341840274,1,0
