SITE_ID,LATITUDE,LONGITUDE,watershed,year_start,year_end,total_samples,avg_TEMP,avg_DO,avg_risk_score,avg_TEMP_plus2,avg_DO_plus2,DO_critical_baseline,DO_critical_scenario,new_critical_events,DO_critical_percent,percent_increase_critical,composite_risk_score,risk_category
W1139,42.32584268,-71.25439259,Charles,2007.0,2007.0,9,21.64444444444445,7.955555555555555,1.6666666666666667,23.64444444444445,7.455555555555555,1,1,0,11.11111111111111,0.0,16.37777777777778,MODERATE
W1141,42.25781415,-71.26256067,Charles,2007.0,2007.0,10,21.81,8.07,1.6,23.81,7.57,0,0,0,0.0,,10.905,LOW
W1142,42.09620732,-71.47958751,Charles,2007.0,2007.0,9,16.455555555555556,7.2333333333333325,1.6666666666666667,18.455555555555556,6.733333333333333,0,0,0,0.0,,8.227777777777778,LOW
W1143,42.39554541,-71.19710167,Charles,2007.0,2007.0,10,17.03,6.720000000000001,1.7,19.03,6.220000000000001,1,1,0,10.0,0.0,13.515,MODERATE
W1144,42.38300416,-71.2078492,Charles,2007.0,2007.0,10,18.31,4.75,2.2,20.31,4.25,6,6,0,60.0,0.0,39.155,MODERATE
W1147,42.12453197,-71.43065489,Charles,2007.0,2007.0,8,18.8375,4.1875,2.25,20.8375,3.6875,5,7,2,62.5,40.0,40.66875,MODERATE
W1150,42.12911182,-71.30503034,Charles,2007.0,2007.0,10,21.78,7.92,1.6,23.78,7.42,0,0,0,0.0,,10.89,LOW
W1151,42.15866554,-71.30280984,Charles,2007.0,2007.0,10,20.61,6.18,1.7,22.61,5.68,3,5,2,30.0,66.66666666666666,25.305,MODERATE
W1156,42.31931329,-71.24624794,Charles,2007.0,2007.0,9,18.255555555555556,6.1,1.7777777777777777,20.255555555555556,5.6,2,4,2,22.22222222222222,100.0,20.238888888888887,MODERATE
W1157,42.36795531,-71.27033164,Charles,2007.0,2007.0,10,19.25,8.39,1.6,21.25,7.890000000000001,0,0,0,0.0,,9.625,LOW
W1226,42.45289418,-71.14158508,Mystic,2019.0,2019.0,34,19.594117647058823,7.376470588235295,1.5588235294117647,21.594117647058823,6.876470588235295,7,7,0,20.588235294117645,0.0,20.091176470588234,MODERATE
W1296,42.43518342,-71.15084227,Mystic,2005.0,2005.0,8,19.6625,7.1000000000000005,2.25,21.6625,6.6000000000000005,2,3,1,25.0,50.0,22.33125,MODERATE
W1297,42.23288025,-71.34625451,Charles,2005.0,2005.0,9,17.266666666666666,5.9,1.1111111111111112,19.266666666666666,5.4,1,2,1,11.11111111111111,100.0,14.188888888888888,MODERATE
W1582,42.30510355,-71.3252761,Charles,2007.0,2007.0,9,19.944444444444443,8.022222222222222,1.5555555555555556,21.944444444444443,7.522222222222222,0,0,0,0.0,,9.972222222222221,LOW
W1583,42.15140376,-71.42713966,Charles,2007.0,2007.0,8,19.2125,7.675,1.625,21.2125,7.175,0,0,0,0.0,,9.60625,LOW
W1584,42.13445842,-71.44602039,Charles,2007.0,2007.0,9,17.700000000000003,7.0,1.7777777777777777,19.700000000000003,6.5,1,2,1,11.11111111111111,100.0,14.405555555555557,MODERATE
W1585,42.13103033,-71.5155242,Charles,2007.0,2007.0,9,15.88888888888889,8.2,1.6666666666666667,17.88888888888889,7.699999999999999,0,0,0,0.0,,7.944444444444445,LOW
W1586,42.19598069,-71.33022096,Charles,2007.0,2007.0,10,18.11,7.6,1.6,20.11,7.1,0,0,0,0.0,,9.055,LOW
W1587,42.25505525,-71.33009248,Charles,2007.0,2007.0,9,20.044444444444444,6.611111111111111,1.6666666666666667,22.044444444444444,6.111111111111111,1,3,2,11.11111111111111,200.0,15.577777777777778,MODERATE
W1588,42.09047755,-71.43283604,Charles,2007.0,2007.0,9,18.11111111111111,8.644444444444444,1.6666666666666667,20.11111111111111,8.144444444444444,0,0,0,0.0,,9.055555555555555,LOW
W1589,42.22237155,-71.40927393,Charles,2007.0,2007.0,9,15.866666666666664,4.433333333333334,2.2222222222222223,17.866666666666664,3.933333333333333,6,7,1,66.66666666666666,16.666666666666664,41.26666666666666,MODERATE
W1590,42.34154459,-71.26662505,Charles,2007.0,2020.0,9,17.38888888888889,9.266666666666667,1.7777777777777777,19.38888888888889,8.766666666666667,0,0,0,0.0,,8.694444444444445,LOW
W1592,42.17383927,-71.50839357,Charles,2007.0,2007.0,4,14.025,7.05,1.5,16.025,6.55,0,0,0,0.0,,7.0125,LOW
W1933,42.1718706,-71.18594357,Neponset,2009.0,2009.0,6,18.466666666666665,8.483333333333333,1.5,20.466666666666665,7.983333333333333,0,0,0,0.0,,9.233333333333333,LOW
W1934,42.24989528,-71.12456936,Neponset,2009.0,2009.0,5,19.4,6.720000000000001,1.6,21.4,6.220000000000001,0,0,0,0.0,,9.7,LOW
W1935,42.2693424,-71.08658191,Neponset,2009.0,2009.0,5,20.08,8.92,1.6,22.08,8.42,0,0,0,0.0,,10.04,LOW
W1937,42.20894589,-71.26694884,Neponset,2009.0,2009.0,6,14.65,8.683333333333334,1.6666666666666667,16.650000000000002,8.183333333333334,0,0,0,0.0,,7.325,LOW
W1938,42.19362053,-71.27966147,Neponset,2009.0,2009.0,6,16.683333333333334,8.183333333333334,1.6666666666666667,18.683333333333337,7.683333333333334,0,0,0,0.0,,8.341666666666667,LOW
W1942,42.18650673,-71.22345227,Neponset,2009.0,2009.0,6,15.983333333333333,9.15,1.6666666666666667,17.983333333333334,8.65,0,0,0,0.0,,7.991666666666666,LOW
W1943,42.14711935,-71.25588873,Neponset,2009.0,2009.0,8,18.4,8.5875,1.5,20.4,8.0875,0,0,0,0.0,,9.2,LOW
